Discipline,Skill_Number,Skill_Description,Skill_Description_Improved
"Linguagens, Códigos e suas Tecnologias",17,Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional. ,Reconhecer valores sociais e humanos no patrimônio literário nacional: Valorizar e identificar princípios e ideais retratados na literatura como representações de uma nação e sua cultura.
"Linguagens, Códigos e suas Tecnologias",18,Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.,Identificar elementos para a progressão temática e estruturação de textos: Reconhecer e analisar componentes que guiam a evolução e organização de textos de diferentes estilos e propósitos.
"Linguagens, Códigos e suas Tecnologias",19,Analisar a função da linguagem predominante nos textos em situações específicas de interlocução.,Analisar a função da linguagem em situações específicas de interlocução: Compreender e avaliar como a linguagem é usada de maneira adaptativa em diferentes contextos comunicativos.
"Linguagens, Códigos e suas Tecnologias",20,Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.  ,Reconhecer a importância do patrimônio linguístico para a preservação da memória nacional: Valorizar a diversidade linguística como elemento-chave na conservação da história e identidade de um povo.
"Linguagens, Códigos e suas Tecnologias",21,"Reconhecer em textos de diferentes gêneros, recursos verbais e não-verbais utilizados com a finalidade de criar e mudar comportamentos e hábitos.",Reconhecer em textos recursos verbais e não-verbais para criar e mudar comportamentos: Identificar estratégias linguísticas e visuais usadas para influenciar e modificar atitudes e comportamentos do público.
"Linguagens, Códigos e suas Tecnologias",22,"Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos.","Relacionar, em textos, opiniões, temas, e recursos linguísticos: Estabelecer conexões entre diferentes aspectos de um texto, como opiniões expressas, tópicos abordados e técnicas linguísticas empregadas."
"Linguagens, Códigos e suas Tecnologias",23,"Inferir em um texto quais são os objetivos de seu produtor e quem é seu público alvo, pela análise dos procedimentos argumentativos utilizados.","Inferir objetivos do produtor e público-alvo de um texto: Decifrar a intenção do autor e a quem se destina um texto, com base em sua argumentação e estilo."
"Linguagens, Códigos e suas Tecnologias",24,"Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras. ","Reconhecer estratégias argumentativas para o convencimento do público: Identificar técnicas usadas para persuadir ou influenciar o leitor ou ouvinte, como apelos emocionais, lógicos, entre outros."
"Linguagens, Códigos e suas Tecnologias",25,"Identificar, em textos de diferentes gêneros, as marcas linguísticas que singularizam as variedades linguísticas sociais, regionais e de registro.",Identificar marcas linguísticas que singularizam variedades linguísticas: Reconhecer características específicas de diferentes dialetos ou registros linguísticos em textos.
"Linguagens, Códigos e suas Tecnologias",26,Relacionar as variedades linguísticas a situações específicas de uso social.,"Relacionar variedades linguísticas a situações de uso social: Associar diferentes formas de linguagem a seus contextos sociais apropriados, reconhecendo quando e por que certos dialetos ou estilos são usados."
"Linguagens, Códigos e suas Tecnologias",27,Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação. ,Reconhecer usos da norma padrão da língua portuguesa: Identificar e compreender a aplicação correta da norma culta do português em diferentes situações comunicativas.
"Linguagens, Códigos e suas Tecnologias",28,Reconhecer a função e o impacto social das diferentes tecnologias da comunicação e informação.,"Reconhecer a função e o impacto social das tecnologias da comunicação: Entender o papel das tecnologias de comunicação na sociedade e como elas moldam interações, comportamentos e percepções."
"Linguagens, Códigos e suas Tecnologias",29,"Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação.","Identificar, pela análise de suas linguagens, as tecnologias da comunicação: Decifrar e compreender tecnologias específicas de comunicação com base na linguagem e na expressão usadas."
"Linguagens, Códigos e suas Tecnologias",30,Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem. ,Relacionar as tecnologias de comunicação ao desenvolvimento das sociedades: Associar o advento e a evolução das tecnologias de comunicação aos progressos e transformações nas sociedades ao longo da história.
Matemática e suas Tecnologias,1,"Reconhecer, no contexto social, diferentes significados e representações dos números e operações - naturais, inteiros, racionais ou reais.","Reconhecer, no contexto social, diferentes significados e representações dos números e operações: É a capacidade de entender como os números e operações são vistos e usados em diversos contextos sociais, tais como comércio, religião, cultura e história."
Matemática e suas Tecnologias,2,Identificar padrões numéricos ou princípios de contagem.,Identificar padrões numéricos ou princípios de contagem: Envolve reconhecer sequências ou regularidades em conjuntos de números e compreender os fundamentos básicos da contagem.
Matemática e suas Tecnologias,3,Resolver situação-problema envolvendo conhecimentos numéricos.,Resolver situação-problema envolvendo conhecimentos numéricos: Capacidade de aplicar conhecimento matemático para resolver problemas práticos que envolvem números.
Matemática e suas Tecnologias,4,Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas.,Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas: Julgar se um resultado matemático faz sentido dentro de um contexto e usá-lo para apoiar ou refutar uma afirmação.
Matemática e suas Tecnologias,5,Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos. ,Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos: Examinar e julgar sugestões ou planos de ação com base em informações numéricas.
Matemática e suas Tecnologias,6,Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional.,"Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional: Compreender e visualizar como objetos e pessoas se movem em três dimensões e como isso pode ser representado em duas dimensões, como em mapas ou desenhos."
Matemática e suas Tecnologias,7,Identificar características de figuras planas ou espaciais.,"Identificar características de figuras planas ou espaciais: Reconhecer e nomear propriedades específicas de formas, como lados, ângulos e volumes."
Matemática e suas Tecnologias,8,Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma.,Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma: Usar a geometria para encontrar soluções para problemas que envolvem espaço e forma.
Matemática e suas Tecnologias,9,Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano. ,Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano: Aplicar conceitos geométricos para fundamentar ou refutar soluções propostas para problemas cotidianos.
Matemática e suas Tecnologias,10,Identificar relações entre grandezas e unidades de medida.,Identificar relações entre grandezas e unidades de medida: Compreender como diferentes quantidades estão relacionadas e como são medidas.
Matemática e suas Tecnologias,11,Utilizar a noção de escalas na leitura de representação de situação do cotidiano.,"Utilizar a noção de escalas na leitura de representação de situação do cotidiano: Usar o conceito de escala para interpretar mapas, planos e outros tipos de representações gráficas."
Matemática e suas Tecnologias,12,Resolver situação-problema que envolva medidas de grandezas.,Resolver situação-problema que envolva medidas de grandezas: Capacidade de usar medidas para solucionar problemas práticos.
Matemática e suas Tecnologias,13,Avaliar o resultado de uma medição na construção de um argumento consistente.,Avaliar o resultado de uma medição na construção de um argumento consistente: Julgar se uma medida é precisa ou útil e usá-la como base para um argumento.
Matemática e suas Tecnologias,14,Avaliar proposta de intervenção na realidade utilizando conhecimentos geométricos relacionados a grandezas e medidas.  ,"Avaliar proposta de intervenção na realidade utilizando conhecimentos geométricos relacionados a grandezas e medidas: Analisar sugestões ou planos com base em informações geométricas, particularmente aquelas relacionadas a tamanho, forma e medida."
Matemática e suas Tecnologias,15,Identificar a relação de dependência entre grandezas.,Identificar a relação de dependência entre grandezas: Reconhecer como uma quantidade pode influenciar ou depender de outra.
Matemática e suas Tecnologias,16,"Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais.","Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais: Usar proporções e relações para resolver problemas que envolvem mudanças em quantidades."
Matemática e suas Tecnologias,17,Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação.,Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação: Utilizar a variação de quantidades para fundamentar um argumento.
Matemática e suas Tecnologias,18,Avaliar propostas de intervenção na realidade envolvendo variação de grandezas. ,Avaliar propostas de intervenção na realidade envolvendo variação de grandezas: Analisar e julgar sugestões com base em como as quantidades mudam e se relacionam.
Matemática e suas Tecnologias,19,Identificar representações algébricas que expressem a relação entre grandezas.,Identificar representações algébricas que expressem a relação entre grandezas: Reconhecer e compreender expressões matemáticas que descrevem relações entre diferentes quantidades.
Matemática e suas Tecnologias,20,Interpretar gráfico cartesiano que represente relações entre grandezas.,Interpretar gráfico cartesiano que represente relações entre grandezas: Ler e entender gráficos que mostrem como diferentes quantidades estão relacionadas.
Matemática e suas Tecnologias,21,Resolver situação-problema cuja modelagem envolva conhecimentos algébricos.,Resolver situação-problema cuja modelagem envolva conhecimentos algébricos: Usar álgebra para criar e resolver modelos matemáticos de problemas do mundo real.
Matemática e suas Tecnologias,22,Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação.,Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação: Aplicar conceitos de álgebra e geometria para fundamentar ou refutar argumentos.
Matemática e suas Tecnologias,23,Avaliar propostas de intervenção na realidade utilizando conhecimentos algébricos. ,Avaliar propostas de intervenção na realidade utilizando conhecimentos algébricos: Julgar sugestões ou planos com base em informações algébricas.
Matemática e suas Tecnologias,24,Utilizar informações expressas em gráficos ou tabelas para fazer inferências.,Utilizar informações expressas em gráficos ou tabelas para fazer inferências: Interpretar dados apresentados visualmente para tirar conclusões.
Matemática e suas Tecnologias,25,Resolver problema com dados apresentados em tabelas ou gráficos.,Resolver problema com dados apresentados em tabelas ou gráficos: Usar informações gráficas ou tabulares para solucionar problemas.
Matemática e suas Tecnologias,26,Analisar informações expressas em gráficos ou tabelas como recurso para a construção de argumentos.  ,Analisar informações expressas em gráficos ou tabelas como recurso para a construção de argumentos: Utilizar dados visualizados para apoiar ou refutar um argumento.
Matemática e suas Tecnologias,27,Calcular medidas de tendência central ou de dispersão de um conjunto de dados expressos em uma tabela de frequências de dados agrupados (não em classes) ou em gráficos.,"Calcular medidas de tendência central ou de dispersão de um conjunto de dados: Usar estatísticas, como média, mediana e desvio padrão, para resumir e analisar conjuntos de dados."
Matemática e suas Tecnologias,28,Resolver situação-problema que envolva conhecimentos de estatística e probabilidade.,Resolver situação-problema que envolva conhecimentos de estatística e probabilidade: Aplicar conceitos de estatística e probabilidade para solucionar problemas reais.
Matemática e suas Tecnologias,29,Utilizar conhecimentos de estatística e probabilidade como recurso para a construção de argumentação.,Utilizar conhecimentos de estatística e probabilidade como recurso para a construção de argumentação: Usar estatísticas e probabilidades para fundamentar argumentos.
Matemática e suas Tecnologias,30,Avaliar propostas de intervenção na realidade utilizando conhecimentos de estatística e probabilidade. ,Avaliar propostas de intervenção na realidade utilizando conhecimentos de estatística e probabilidade: Analisar e julgar sugestões ou planos com base em conhecimento estatístico e probabilístico.
Ciências da Natureza e suas Tecnologias,1,"Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos.","Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios: Identificar e compreender as propriedades fundamentais de ondas e oscilações e como elas se manifestam em diversos contextos, desde ondas sonoras até ondas eletromagnéticas."
Ciências da Natureza e suas Tecnologias,2,"Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico.","Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico: Relacionar avanços na ciência e tecnologia com melhorias e soluções em campos como comunicação, transporte e saúde."
Ciências da Natureza e suas Tecnologias,3,"Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas.","Confrontar interpretações científicas com interpretações baseadas no senso comum: Comparar e contrastar entendimentos baseados em evidências científicas com crenças populares ou interpretações tradicionais, analisando a evolução do pensamento ao longo do tempo ou entre culturas."
Ciências da Natureza e suas Tecnologias,4,"Avaliar propostas de intervenção no ambiente, considerando a qualidade da vida humana ou medidas de conservação, recuperação ou utilização sustentável da biodiversidade. ","Avaliar propostas de intervenção no ambiente: Examinar e julgar planos ou ações que buscam alterar o ambiente, ponderando seu impacto na qualidade de vida humana e no equilíbrio ecológico."
Ciências da Natureza e suas Tecnologias,5,Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.,"Dimensionar circuitos ou dispositivos elétricos de uso cotidiano: Estimar e calcular dimensões e componentes de circuitos elétricos comuns, como em eletrodomésticos ou sistemas residenciais."
Ciências da Natureza e suas Tecnologias,6,"Relacionar informações para compreender manuais de instalação ou utilização de aparelhos, ou sistemas tecnológicos de uso comum.",Relacionar informações para compreender manuais de instalação: Associar diferentes tipos de informações para entender e seguir instruções em guias de instalação ou operação de dispositivos tecnológicos.
Ciências da Natureza e suas Tecnologias,7,"Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida. ","Selecionar testes de controle, parâmetros ou critérios: Escolher métodos de avaliação adequados para comparar materiais e produtos, considerando a segurança do consumidor, a saúde do trabalhador e outros critérios de qualidade."
Ciências da Natureza e suas Tecnologias,8,"Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos naturais, energéticos ou matérias-primas, considerando processos biológicos, químicos ou físicos neles envolvidos.","Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos: Reconhecer e entender as fases envolvidas na extração, processamento e reutilização de materiais e energia, levando em conta os métodos biológicos, químicos ou físicos empregados."
Ciências da Natureza e suas Tecnologias,9,"Compreender a importância dos ciclos biogeoquímicos ou do fluxo energia para a vida, ou da ação de agentes ou fenômenos que podem causar alterações nesses processos.",Compreender a importância dos ciclos biogeoquímicos ou do fluxo energia: Entender o papel fundamental que os ciclos naturais e os fluxos de energia desempenham na sustentação da vida e na manutenção dos ecossistemas.
Ciências da Natureza e suas Tecnologias,10,"Analisar perturbações ambientais, identificando fontes, transporte e(ou) destino dos poluentes ou prevendo efeitos em sistemas naturais, produtivos ou sociais.","Analisar perturbações ambientais: Investigar e avaliar distúrbios no ambiente, identificando suas origens, trajetórias de poluentes e prevendo possíveis impactos nos sistemas naturais e sociais."
Ciências da Natureza e suas Tecnologias,11,"Reconhecer benefícios, limitações e aspectos éticos da biotecnologia, considerando estruturas e processos biológicos envolvidos em produtos biotecnológicos.","Reconhecer benefícios, limitações e aspectos éticos da biotecnologia: Compreender as vantagens e desvantagens da biotecnologia, incluindo considerações éticas, enquanto avalia as estruturas e processos biológicos relacionados."
Ciências da Natureza e suas Tecnologias,12,"Avaliar impactos em ambientes naturais decorrentes de atividades sociais ou econômicas, considerando interesses contraditórios. ","Avaliar impactos em ambientes naturais decorrentes de atividades sociais ou econômicas: Julgar os efeitos das atividades humanas nos ecossistemas, ponderando diferentes perspectivas e interesses."
Ciências da Natureza e suas Tecnologias,13,"Reconhecer mecanismos de transmissão da vida, prevendo ou explicando a manifestação de características dos seres vivos.",Reconhecer mecanismos de transmissão da vida: Identificar e compreender os processos que governam a hereditariedade e a manifestação de características genéticas em organismos.
Ciências da Natureza e suas Tecnologias,14,"Identificar padrões em fenômenos e processos vitais dos organismos, como manutenção do equilíbrio interno, defesa, relações com o ambiente, sexualidade, entre outros.","Identificar padrões em fenômenos e processos vitais dos organismos: Reconhecer regularidades e padrões consistentes nos processos vitais que sustentam a vida, desde a homeostase até a reprodução."
Ciências da Natureza e suas Tecnologias,15,Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos em qualquer nível de organização dos sistemas biológicos.,Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos: Utilizar representações e experimentos para elucidar e explicar eventos ou processos biológicos em qualquer nível de organização.
Ciências da Natureza e suas Tecnologias,16,"Compreender o papel da evolução na produção de padrões, processos biológicos ou na organização taxonômica dos seres vivos. ","Compreender o papel da evolução na produção de padrões: Entender como a evolução biológica molda padrões, processos e a diversidade de vida."
Ciências da Natureza e suas Tecnologias,17,"Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica.","Relacionar informações apresentadas em diferentes formas de linguagem e representação: Associar e interpretar dados apresentados em várias formas, como textos, gráficos, tabelas e equações, particularmente em contextos científicos."
Ciências da Natureza e suas Tecnologias,18,"Relacionar propriedades físicas, químicas ou biológicas de produtos, sistemas ou procedimentos tecnológicos às finalidades a que se destinam.","Relacionar propriedades físicas, químicas ou biológicas de produtos: Associar características específicas de materiais ou substâncias a suas funções e usos pretendidos em contextos tecnológicos ou industriais."
Ciências da Natureza e suas Tecnologias,19,"Avaliar métodos, processos ou procedimentos das ciências naturais que contribuam para diagnosticar ou solucionar problemas de ordem social, econômica ou ambiental. ","Avaliar métodos, processos ou procedimentos das ciências naturais: Julgar a eficácia e relevância de abordagens científicas ao abordar desafios sociais, econômicos ou ambientais."
Ciências da Natureza e suas Tecnologias,20,"Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes.","Caracterizar causas ou efeitos dos movimentos: Identificar e explicar as forças e interações responsáveis pelos movimentos e comportamentos de partículas, objetos e corpos celestes."
Ciências da Natureza e suas Tecnologias,21,Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo.,"Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos: Aplicar princípios da física e da química para explicar e entender fenômenos naturais ou desenvolvimentos tecnológicos, especialmente em contextos termodinâmicos ou eletromagnéticos."
Ciências da Natureza e suas Tecnologias,22,"Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais.","Compreender fenômenos decorrentes da interação entre a radiação e a matéria: Entender os efeitos e implicações da interação entre radiação (por exemplo, luz, raios X) e matéria em vários contextos."
Ciências da Natureza e suas Tecnologias,23,"Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas. ","Avaliar possibilidades de geração, uso ou transformação de energia: Julgar diferentes abordagens para a produção, uso e conversão de energia em diversos contextos, considerando implicações éticas, sociais e ambientais."
Ciências da Natureza e suas Tecnologias,24,"Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas.","Utilizar códigos e nomenclatura da química: Aplicar terminologia e convenções da química para descrever e categorizar materiais, substâncias e reações químicas."
Ciências da Natureza e suas Tecnologias,25,"Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção.","Caracterizar materiais ou substâncias: Descrever e diferenciar materiais ou substâncias com base em suas propriedades e nos processos usados para obtê-los, avaliando também impactos sociais e ambientais."
Ciências da Natureza e suas Tecnologias,26,"Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais, identificando transformações químicas ou de energia envolvidas nesses processos.","Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais: Julgar as consequências e implicações da extração, produção e uso de recursos energéticos ou minerais em diferentes contextos."
Ciências da Natureza e suas Tecnologias,27,"Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos, observando riscos ou benefícios. ","Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos: Julgar planos ou ações que envolvem alterações ambientais usando princípios químicos, avaliando riscos e benefícios associados."
Ciências da Natureza e suas Tecnologias,28,"Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.","Associar características adaptativas dos organismos com seu modo de vida: Relacionar adaptações específicas em organismos ao seu comportamento, nicho ecológico ou distribuição geográfica."
Ciências da Natureza e suas Tecnologias,29,"Interpretar experimentos ou técnicas que utilizam seres vivos, analisando implicações para o ambiente, a saúde, a produção de alimentos, matérias primas ou produtos industriais.","Interpretar experimentos ou técnicas que utilizam seres vivos: Analisar e compreender experimentos ou procedimentos que envolvem organismos vivos, considerando implicações em diversos contextos."
Ciências da Natureza e suas Tecnologias,30,"Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam à preservação e a implementação da saúde individual, coletiva ou do ambiente. ","Avaliar propostas de alcance individual ou coletivo: Julgar e ponderar propostas que buscam melhorar a saúde e o bem-estar no nível individual ou coletivo, ou que visam a proteção e conservação ambiental."
Ciências Humanas e suas Tecnologias,1,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura: Analisar documentos em um contexto histórico e/ou geográfico para compreender as nuances culturais expressas neles.
Ciências Humanas e suas Tecnologias,2,Analisar a produção da memória pelas sociedades humanas.,Analisar a produção da memória pelas sociedades humanas: Examinar como diferentes sociedades constroem e preservam suas memórias coletivas e a importância desses registros para a identidade cultural.
Ciências Humanas e suas Tecnologias,3,Associar as manifestações culturais do presente aos seus processos históricos.,"Associar as manifestações culturais do presente aos seus processos históricos: Relacionar as expressões culturais contemporâneas com seus antecedentes históricos, percebendo a evolução e transformação cultural ao longo do tempo."
Ciências Humanas e suas Tecnologias,4,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura: Avaliar diferentes interpretações e opiniões de várias fontes sobre um aspecto cultural específico.
Ciências Humanas e suas Tecnologias,5,Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades. ,Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades: Reconhecer e compreender a variedade e singularidade das expressões culturais e artísticas em diversas culturas.
Ciências Humanas e suas Tecnologias,6,Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos.,"Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos: Decodificar e entender várias formas de representações espaciais, como mapas, gráficos e diagramas, para analisar características geográficas."
Ciências Humanas e suas Tecnologias,7,Identificar os significados histórico-geográficos das relações de poder entre as nações,Identificar os significados histórico-geográficos das relações de poder entre as nações: Compreender como a história e a geografia influenciam as dinâmicas de poder entre diferentes países.
Ciências Humanas e suas Tecnologias,8,Analisar a ação dos estados nacionais no que se refere à dinâmica dos fluxos populacionais e no enfrentamento de problemas de ordem econômico-social.,Analisar a ação dos estados nacionais em relação à dinâmica dos fluxos populacionais e problemas econômico-sociais: Investigar como os governos nacionais respondem e influenciam migrações populacionais e abordam questões socioeconômicas.
Ciências Humanas e suas Tecnologias,9,"Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em escala local, regional ou mundial.","Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em diferentes escalas: Contrastar e avaliar a relevância e impacto de entidades políticas e econômicas em níveis local, regional e global."
Ciências Humanas e suas Tecnologias,10,Reconhecer a dinâmica da organização dos movimentos sociais e a importância da participação da coletividade na transformação da realidade histórico-geográfica. ,"Reconhecer a dinâmica da organização dos movimentos sociais e a importância da coletividade na transformação da realidade histórico-geográfica: Identificar como os movimentos sociais são formados e organizados, e entender seu papel nas mudanças socioculturais e geográficas."
Ciências Humanas e suas Tecnologias,11,Identificar registros de práticas de grupos sociais no tempo e no espaço.,"Identificar registros de práticas de grupos sociais no tempo e no espaço: Localizar e compreender registros documentais ou outros que detalhem a vida, tradições e práticas de grupos específicos em diferentes contextos temporais e espaciais."
