Discipline,Skill_Number,Skill_Description,Skill_Description_Improved
Natural Sciences and its Technologies,15,Interpret models and experiments to explain phenomena or biological processes at any level of organization of biological systems.,Interpret models and experiments to explain biological phenomena or processes: Use representations and experiments to elucidate and explain biological events or processes at any level of organization.
Natural Sciences and its Technologies,16," Understand the role of evolution in the production of patterns, biological processes or in the taxonomic organization of living beings.","Understand the role of evolution in producing patterns: Understand how biological evolution shapes patterns, processes and the diversity of life."
Natural Sciences and its Technologies,17,"Relate information presented in different forms of language and representation used in the physical, chemical or biological sciences, such as discursive text, graphs, tables, mathematical relations or symbolic language.","Relate information presented in different forms of language and representation: Associate and interpret data presented in various forms, such as text, graphs, tables and equations, particularly in scientific contexts."
Natural Sciences and its Technologies,18,"Relate physical, chemical or biological properties of products, systems or technological procedures to the purposes for which they are intended.","Relate physical, chemical or biological properties of products: Associate specific characteristics of materials or substances with their functions and intended uses in technological or industrial contexts."
Natural Sciences and its Technologies,19,"Evaluate natural science methods, processes or procedures that contribute to diagnosing or solving social, economic or environmental problems.","Evaluating natural science methods, processes, or procedures: Judging the effectiveness and relevance of scientific approaches in addressing social, economic, or environmental challenges."
Natural Sciences and its Technologies,20,"Characterize causes or effects of the movements of particles, substances, objects or celestial bodies.","Characterize causes or effects of movements: Identify and explain the forces and interactions responsible for the movements and behaviors of particles, objects and celestial bodies."
Natural Sciences and its Technologies,21,Use physical and (or) chemical laws to interpret natural or technological processes inserted in the context of thermodynamics and (or) electromagnetism.,"Use physical and (or) chemical laws to interpret natural or technological processes: Apply principles of physics and chemistry to explain and understand natural phenomena or technological developments, especially in thermodynamic or electromagnetic contexts."
Natural Sciences and its Technologies,22,"Understand phenomena resulting from the interaction between radiation and matter in its manifestations in natural or technological processes, or in its biological, social, economic or environmental implications.","Understand phenomena arising from the interaction between radiation and matter: Understand the effects and implications of the interaction between radiation (eg light, X-rays) and matter in various contexts."
Natural Sciences and its Technologies,23," Evaluate possibilities for generating, using or transforming energy in specific environments, considering ethical, environmental, social and/or economic implications.","Evaluate possibilities for energy generation, use or transformation: Evaluate different approaches to energy production, use and conversion in different contexts, considering ethical, social and environmental implications."
Natural Sciences and its Technologies,24,"Use chemistry codes and nomenclature to characterize materials, substances or chemical transformations.","Use Chemistry Codes and Nomenclature: Apply chemistry terminology and conventions to describe and categorize materials, substances, and chemical reactions."
Natural Sciences and its Technologies,25,"Characterize materials or substances, identifying stages, yields or biological, social, economic or environmental implications of obtaining or producing them.","Characterize materials or substances: Describe and differentiate materials or substances based on their properties and the processes used to obtain them, also assessing social and environmental impacts."
Natural Sciences and its Technologies,26,"Evaluate social, environmental and/or economic implications in the production or consumption of energy or mineral resources, identifying chemical or energy transformations involved in these processes.","Assess social, environmental and/or economic implications in the production or consumption of energy or mineral resources: Judge the consequences and implications of the extraction, production and use of energy or mineral resources in different contexts."
Natural Sciences and its Technologies,27," Evaluate proposals for intervention in the environment by applying chemical knowledge, observing risks or benefits.","Evaluate proposals for intervention in the environment by applying chemical knowledge: Judging plans or actions that involve environmental changes using chemical principles, evaluating associated risks and benefits."
Natural Sciences and its Technologies,28,"Associate adaptive characteristics of organisms with their way of life or with their limits of distribution in different environments, especially in Brazilian environments.","Associate adaptive characteristics of organisms with their way of life: Relate specific adaptations in organisms to their behavior, ecological niche or geographic distribution."
Natural Sciences and its Technologies,29,"Interpret experiments or techniques that use living beings, analyzing implications for the environment, health, food production, raw materials or industrial products.","Interpret experiments or techniques that use living beings: Analyze and understand experiments or procedures that involve living organisms, considering implications in different contexts."
Natural Sciences and its Technologies,30," Evaluate individual or collective proposals, identifying those aimed at preserving and implementing individual, collective or environmental health.","Evaluate proposals of individual or collective scope: Judging and weighing proposals that seek to improve health and well-being at the individual or collective level, or that aim at environmental protection and conservation."
Human Sciences and their Technologies,1,Interpret historically and/or geographically documentary sources about aspects of culture.,Interpret historically and/or geographically documentary sources about aspects of culture: Analyze documents in a historical and/or geographic context to understand the cultural nuances expressed in them.
Human Sciences and their Technologies,2,Analyze the production of memory by human societies.,Analyze the production of memory by human societies: Examine how different societies build and preserve their collective memories and the importance of these records for cultural identity.
Human Sciences and their Technologies,3,Associate the cultural manifestations of the present to their historical processes.,"Associate the cultural manifestations of the present to their historical processes: Relate contemporary cultural expressions with their historical antecedents, perceiving the evolution and cultural transformation over time."
Human Sciences and their Technologies,4,Compare points of view expressed in different sources about a given aspect of culture.,Comparing views expressed in different sources about a certain aspect of culture: Evaluating different interpretations and opinions from various sources about a specific cultural aspect.
Human Sciences and their Technologies,5, Identify manifestations or representations of the diversity of cultural and artistic heritage in different societies.,Identify manifestations or representations of the diversity of cultural and artistic heritage in different societies: Recognize and understand the variety and uniqueness of cultural and artistic expressions in different cultures.
Human Sciences and their Technologies,6,Interpret different graphic and cartographic representations of geographic spaces.,"Interpret different graphical and cartographic representations of geographic spaces: Decode and understand various forms of spatial representations, such as maps, graphs and diagrams, to analyze geographic characteristics."
Human Sciences and their Technologies,7,Identify the historical-geographical meanings of power relations between nations,Identify the historical-geographical meanings of power relations between nations: Understand how history and geography influence power dynamics between different countries.
Human Sciences and their Technologies,8,Analyze the action of national states with regard to the dynamics of population flows and in facing economic and social problems.,Analyze the action of national states in relation to the dynamics of population flows and socio-economic problems: Investigate how national governments respond to and influence population migrations and address socioeconomic issues.
Human Sciences and their Technologies,9,"Compare the historical-geographical significance of political and socioeconomic organizations on a local, regional or world scale.","Compare the historical-geographical significance of political and socioeconomic organizations at different scales: Contrast and assess the relevance and impact of political and economic entities at local, regional and global levels."
Human Sciences and their Technologies,10, Recognize the dynamics of the organization of social movements and the importance of community participation in the transformation of historical-geographical reality.,"Recognize the dynamics of the organization of social movements and the importance of the community in transforming the historical-geographical reality: Identify how social movements are formed and organized, and understand their role in socio-cultural and geographic changes."
Human Sciences and their Technologies,11,Identify records of practices of social groups in time and space.,"Identify records of practices of social groups in time and space: Locate and understand documentary or other records that detail the lives, traditions and practices of specific groups in different temporal and spatial contexts."
Human Sciences and their Technologies,12,Analyze the role of justice as an institution in the organization of societies.,Analyze the role of justice as an institution in the organization of societies: Investigate how the judicial system and its decisions influence and reflect the values and structures of a society.
Human Sciences and their Technologies,13,Analyze the performance of social movements that contributed to changes or ruptures in power dispute processes.,Analyze the performance of social movements that contributed to changes or ruptures in power dispute processes: Examine the influence and impact of specific social movements on political change and the reconfiguration of power.
Human Sciences and their Technologies,14,"Compare different points of view, present in analytical and interpretative texts, on situation or facts of historical-geographical nature concerning social, political and economic institutions.","Compare different points of view, present in analytical and interpretative texts, on situation or facts of historical-geographical nature about social, political and economic institutions: Evaluate and contrast diverse perspectives found in varied sources on events or situations of historical-geographical relevance."
Human Sciences and their Technologies,15," Critically assess cultural, social, political, economic or environmental conflicts throughout history.","Critically assess cultural, social, political, economic or environmental conflicts throughout history: Judge and analyze disputes and tensions in different historical contexts, pondering their causes, developments and consequences."
Human Sciences and their Technologies,16,Identify records about the role of techniques and technologies in the organization of work and/or social life.,Identify records about the role of techniques and technologies in the organization of work and/or social life: Recognize and analyze sources that detail the influence and evolution of technology in the professional and social spheres.
Human Sciences and their Technologies,17,Analyze factors that explain the impact of new technologies on the process of territorialization of production.,Analyze factors that explain the impact of new technologies on the process of territorialization of production: Investigate how technological advances influence and reconfigure the production and geographic distribution of goods and services.
Human Sciences and their Technologies,18,Analyze different processes of production or circulation of wealth and their socio-spatial implications.,"Analyze different processes of production or circulation of wealth and their socio-spatial implications: Examine how the production, distribution and consumption of wealth affect social dynamics and geographic patterns."
Human Sciences and their Technologies,19,Recognize the technical and technological transformations that determine the various forms of use and appropriation of rural and urban spaces.,Recognize the technical and technological transformations that determine the various forms of use and appropriation of rural and urban spaces: Identify how technical and technological innovations have redefined the way urban and rural spaces are used and occupied.
Human Sciences and their Technologies,20, Select arguments for or against the changes imposed by new technologies on social life and the world of work.,Select arguments for or against the changes imposed by new technologies on social life and the world of work: Evaluate and choose between different perspectives related to the impacts of emerging technologies on society and the work environment.
Human Sciences and their Technologies,21,Identify the role of the media in the construction of social life.,Identify the role of the media in the construction of social life: Recognize and understand the influence and central role of the media in the formation and transformation of modern societies.
Human Sciences and their Technologies,22,Analyze social struggles and achievements regarding changes in legislation or public policies.,Analyze social struggles and achievements regarding changes in legislation or public policies: Investigate how social movements and struggles influenced and resulted in legislative or political changes.
Human Sciences and their Technologies,23,Analyze the importance of ethical values in the political structure of societies.,Analyze the importance of ethical values in the political structure of societies: Examine how ethical principles underlie and guide political structures and decisions in different cultures.
Human Sciences and their Technologies,24,Relate citizenship and democracy in the organization of societies.,"Relate citizenship and democracy in the organization of societies: Understand the interrelation between the concepts of citizenship and democracy, and how they inform the organization and functioning of societies."
Human Sciences and their Technologies,25, Identify strategies that promote forms of social inclusion.,Identify strategies that promote forms of social inclusion: Recognize and understand approaches and practices that seek to promote inclusion and equality in different social contexts.
Human Sciences and their Technologies,26,"Identify, in different sources, the process of occupation of physical environments and the relationship between human life and the landscape.","Identify, in different sources, the process of occupation of physical environments and the relationships between human life and the landscape: Locate and analyze records of how human beings inhabited and interacted with different landscapes over time."
Human Sciences and their Technologies,27,"Critically analyze society's interactions with the physical environment, taking into account historical and/or geographic aspects.","Critically analyze society's interactions with the physical environment, taking into account historical and/or geographical aspects: Assess the complex relationships between societies and their environments, considering the specific histories and geographies of each interaction."
Human Sciences and their Technologies,28,Relate the use of technologies with socio-environmental impacts in different historical-geographical contexts.,Relate the use of technologies with socio-environmental impacts in different historical-geographical contexts: Understand how the use and development of technologies can affect the environment and societies in different historical periods and locations.
Human Sciences and their Technologies,29,"Recognize the role of natural resources in the production of geographic space, relating them to changes caused by human actions.","Recognize the role of natural resources in the production of geographic space, relating them to the changes caused by human actions: Identify how natural resources influence the organization and transformation of geographic spaces, especially in response to human activities."
Human Sciences and their Technologies,30,Evaluate the relationships between preservation and degradation of life on the planet at different scales.,"Assess the relationships between preservation and degradation of life on the planet at different scales: Judge and consider the dynamics between conservation efforts and degrading impacts on the environment in local, regional and global contexts."
