Year,Discipline,SG_AREA,TX_COR,CO_PROOF,Question_Number,Question_Text,Skill_Number
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 148 - Mathematics and its Technologies,"The luminosity L of a star is related to the radius R and temperature T of that star according to the Stefan-Boltzmann Law: L = c ⋅ R c is a constant that is the same for all stars. 2 4 ⋅ T , where Available at: http://ciencia.hsw.uol.com.br. Accessed on: 22 Nov. 2013 (adapted). Consider two stars E and F, with star E having half the radius of star F and twice the temperature of F. Denote by L and L their respective luminosities. EFA relationship between the luminosities of these two stars is given by ABCDELELF= 2 LELF= 4 L = LE FL = 4L FEL = 8L FE /",15
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 149 - Mathematics and its Technologies,One of the pieces of information that can help in sizing the number of pediatricians who should work in a Basic Health Unit (UBS) is the number that represents the median number of children per family in the region under their responsibility. The table shows the frequency distribution of the number of children per family in the region under the responsibility of a UBS. Number of children per family Frequency 0 1 2 3 4 5 100 400 200 150 100 50 The number representing the median number of children per family in this region is A 1.0. BC 1.5. 1.9. D 2.1. And 2.5. /,27
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 150 - Mathematics and its Technologies,"In volleyball games, a serve is invalidated if the ball hits the ceiling of the gymnasium where the game takes place. A player on a team has a serve that reaches a great height. His record was when the service hit started at a height of 1.5 m from the floor of the court, and the trajectory of the ball was described by the parabola y 2 x 6 x 7 3 12 , where y represents the height of the ball in in relation to the x axis (of the abscissas) which is located 1.5 m from the floor of the court, as shown in the figure. Assume that in all games some serve by that player reaches the same height as his record. y 1.5 m 1.5 m 1.5 mx This player's team participated in a volleyball tournament in which they played five games, each in a different gymnasium. The heights of the ceilings of these gymnasiums, in relation to the floors of the courts, are: • Gymnasium I: 17 m; • Gym II: 18 m; • gymnasium III: 19 m; • Gym IV: 21 m; • Gym V: 40 m. This athlete's serve was invalidated A only in gymnasium I. BC only in gymnasiums I and II. only in Gymnasiums I, II and III. D only in Gymnasiums I, II, III and IV. And in all gyms. /",22
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 151 - Mathematics and its Technologies,"A doctor performs the clinical follow-up of a group of people who perform physical activities on a daily basis. He observed that the average weight loss of these people for each hour of physical activity was 1.5 kg. Knowing that the mass of 1 L of water is 1 kg, he recommended that they ingest, over the 3 hours following the end of the activity, a total amount of water corresponding to 40% more than the mass lost in the physical activity, to avoid dehydration. Following the medical recommendation, one of these people ingested, on a certain day, a total of 1.7 L of water after finishing their physical exercises. For the medical recommendation to have been effectively respected, that person's physical activity on that day lasted A 30 minutes or less. B more than 35 and less than 45 minutes. C more than 45 and less than 55 minutes. D more than 60 and less than 70 minutes. And 70 minutes or more. /",17
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 152 - Mathematics and its Technologies,"In a movie theater, to ensure that spectators see the entire image projected on the screen, the seating arrangement must comply with the technical standard of the Associação Brasileira de Normas Técnicas (ABNT), which makes the following indications: Minimum distance (D ) between the projection screen and the backrest of the seat in the first row must be at least 60% of the width (L) of the screen. The maximum distance (D ) between the projection screen and the backrest of the seat in the last row must be twice the width (L) of the screen, with a distance of up to 2.9 times the width (L) of the screen being acceptable. max For the spacing between the rows of seats, the distance of 1 meter between the backrests of seats in two consecutive rows is considered. A movie theater, whose screen width measures 12 m, is set up in accordance with ABNT standards and has its dimensions specified in the figure. Available at: www.ctav.gov.br. Accessed on: 14 Nov. 2013. Installation area for new seats Acceptable = 2.9L m 1 m 1 Dmax= 2L Dmin= 0.6L Screen L Row Row Row It is intended to expand this room, keeping the screen and all the seats in the same position installed, expanding the room to the rear (area for installing new seats) as much as possible, respecting the acceptable limit of the ABNT standard. The intention is to increase, as much as possible, the number of seats in the room, installing new units, equal to those already installed. How many rows of armchairs will the room have after this expansion? A 26 BC 27 28 D 29 E 35 /",18
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 153 - Mathematics and its Technologies,"A company produces and sells a type of chocolate, solid, in the shape of a straight circular cone with base diameter and height measurements equal to 8 cm and 10 cm, respectively, as shown in the figure. 8 cm 10 cm Due to an increase in the price of the ingredients used in the production of this chocolate, the company decided to produce this same type of chocolate with a 19% smaller volume, in the same shape as a straight circular cone with a height of 10 cm. For this, the company will produce these new chocolates with the radius of the base, in centimeters, equal to A 1.52. BC 3.24. 3.60. D6.48. And 7.20. /",14
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 154 - Mathematics and its Technologies,"In January 2013, 1,794,272 admissions and 1,765,372 dismissals were declared in Brazil, that is, 28,900 job openings were created, according to data from the General Register of Employed and Unemployed People (Caged), released by the Ministry of Labor and Employment (MTE). According to Caged, the number of vacancies created in January 2013 fell by 75% when compared to the same period in 2012. According to the information provided, the number of vacancies created in January 2012 was Available at: http ://portal.mte.gov.br. Accessed on: 23 Feb. 2013 (adapted). A 16 514. BC 86 700. 115 600. D 441 343. E 448 568. /",3
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 155 - Mathematics and its Technologies,"building, with 9 floors and 8 apartments of 2 bedrooms per floor, has all its apartments for sale. The apartments are identified by numbers formed by two digits, with the ten indicating the floor where the apartment is located, and the unit, a digit from 1 to 8, which differentiates the apartments on the same floor. As for the incidence of sunlight in the rooms of these apartments, the following characteristics are observed, depending on their identification numbers: in those that end in 1 or 2, both rooms receive sun only in the morning; in those ending in 3, 4, 5 or 6, only one of the rooms receives sun in the morning; in those ending in 7 or 8, both rooms receive sun only in the afternoon. A person intends to buy 2 of these apartments on the same floor, but wants, in both, at least one of the rooms to receive sun in the morning. In how many different ways can this person choose 2 of these apartments for purchase under the desired conditions? ! 6 6 2 ! ! 6 6 2 ! ! 4 4 2 ! two ! two ! ! 2 2 2 ! two ! ABCDE 9 9 9 9 9 ! 8 8 2 ! 1 2 ! /",2
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 156 - Mathematics and its Technologies,"The art teacher instructed his students to carry out the following sequence of activities: Fold a sheet of paper in a square twice, in sequence, along the dashed lines, as shown in figures 1 and 2, to obtain the folded paper, as shown in Figures 1 and 2. Figure 3. ⇒ OO⇒ Figure 1 Figure 2 Figure 3 Then, on the folded paper of Figure 3, consider the point R, on the segment OM, where M is the midpoint of the side of the original square, so that OR = OM, draw a circle arc with a radius measuring OM with 1 4 1 2 centered on point R, obtaining Figure 4. Finally, cut the paper along the circle arc and delete the part containing the circular sector, obtaining the folded paper , as shown in Figure 5. ROM ⇒ Figure 4 Figure 5 After unfolding the remaining paper in Figure 5, the plane figure that students will obtain will be AB / C DE /",7
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 157 - Mathematics and its Technologies,"A store employee's monthly salary is made up of a fixed amount of R$675 plus a commission that depends on the number of pieces sold by him in the month. The calculation of the value of this commission is done according to these criteria: up to the fiftieth piece sold, you pay 5 reais per piece; from the fifty-first piece sold, the amount paid is 7 reais per piece. Represent by q the quantity of parts sold in the month by this employee, and by S(q) his monthly salary, in reais, in that month. The algebraic expression that describes S(q) in terms of q is ABCDE /",19
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 158 - Mathematics and its Technologies,"By analyzing data from an epidemic in a city, experts obtained a model that evaluates the number of people infected each month, over the course of a year. The 2 model is given by p(t) = −t + 10t + 24, where t is a natural number, ranging from 1 to 12, which represents the months of the year, and p(t) the number of people infected in month t of year. In order to try to reduce the number of people infected next year, the Municipal Health Department decided to intensify official propaganda about care for the epidemic. Five proposals were presented (I, II, III, IV and V), with different periods of advertisement intensification: The experts' suggestion is that the proposal be chosen whose period of advertisement intensification encompasses the month in there are the most infected. The suggestion was accepted. The chosen proposal was • I: 1 ≤ t ≤ 2; • II: 3 ≤ t ≤ 4; • III: 5 ≤ t ≤ 6; • IV: 7 ≤ t ≤ 9; • V: 10 ≤ t ≤ 12. A I. BC II. III. D IV. And V. /",23
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 159 - Mathematics and its Technologies,"An athlete started his training aiming at the end of year competitions. Your training consists of five different types of workouts: T workout , T workout , T workout , 3 2 1 T workout and T workout . The training sequence must follow this order: 4 5 The letter R means rest. After completing the training sequence, the athlete starts the sequence again from training T and follows the order described. After 24 full weeks of training, competitions will begin. 1 The training sequence that the athlete will perform in the 24th week of training is ATRTRRT R. 3 4 5 BRTRTRRT . 5 3 4 CRTRRTRT . 1 4 5 DRRTRTR R. 5 1 ERTRTRRT . 2 5 1 /",2
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 160 - Mathematics and its Technologies,"robot, which has a magnet at its base, moves on the outer surface of a metallic cube, along straight line segments whose extremities are midpoints of edges and centers of faces. It starts its displacement at point P, center of the cube's upper face, proceeds to the center of the next face, converts to the left and continues to the center of the next face, converts to the right and continues its movement, always alternating between conversions to the left and to the right when it reaches the center of a face. The robot only ends its movement when it returns to point P. The figure shows the initial displacements of this robot. P Orthogonal projection of the path described by this robot on the base plane, after completing its movement, visualized from the position in which this cube is seen, is ABCDE /",6
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 161 - Mathematics and its Technologies,"An engineering firm designed a house in the shape of a rectangle for one of their clients. This customer requested the inclusion of an L-shaped balcony. The figure shows the floor plan designed by the company, with the balcony already included, whose measurements, indicated in centimetres, represent the values of the balcony dimensions on a scale of 1 : 50. 16 cm BALCONY 5 cm 18.4 cm KITCHEN ROOM BATHROOM BATHROOM SUITE LIVING ROOM BEDROOM BEDROOM 4 cm SCALE 1 : 50 The actual measurement of the area of the balcony, in square meters, is A 33.40. BC 66.80. 89.24. D 133.60. And 534.40. /",11
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 162 - Mathematics and its Technologies,"clothing store has set a sales target of $77,000 for a given 30-day month. The graph shows the sales volume of that store, in reais, in the first ten days of the month and between the tenth and the twentieth of that month, in its only two sectors (children and adults). Assume that the variation in sales volume, for the registered period, has been linear, as shown in the graph, and that this trend remains the same for the next ten days. At the end of the thirtieth day, how much will the sales volume need, in reais, for the target set for the month to be achieved? A 5 000 BC 7 000 11 000 D 18 000 E 29 000 /",24
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 163 - Mathematics and its Technologies,"In a university, professors work who are functionally framed by their highest degree: master or doctor. It currently has 60 masters and 40 doctors. The monthly salaries of master and doctor professors are, respectively, R$ 8,000.00 and R$ 12,000.00. The institution's board intends to provide a differentiated salary increase for the following year, in such a way that the average monthly salary of professors at that institution does not exceed R$ 12,240.00. The university has already established that the salary increase will be 25% for masters and still needs to define the readjustment percentage for doctors. Maintaining the current number of professors with their current titles, the salary increase, in percentage, to be granted to doctors should be a maximum of A 14.4. BC 20.7. 22.0. D 30.0. And 37.5. /",30
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 164 - Mathematics and its Technologies,"self-acting sprayer releases the same amount of insecticide each time it is activated. The container of this product, when full, contains 360 mL of insecticide, which lasts 60 days if the sprayer remains on uninterruptedly and is activated every 48 minutes. The amount of insecticide that is released each time the sprayer is activated, in milliliters, is A 0.125. BC 0.200. 4,800. D6,000. And 12,000. /",12
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 165 - Mathematics and its Technologies,"The day and year of a planet in a solar system are defined as being, respectively, the time it takes the planet to make 1 complete revolution around its own axis of rotation and the time to make 1 complete revolution around your Sun. Suppose there is a planet Z, in some solar system, where one day corresponds to 73 Earth days and 2 of its years correspond to 1 Earth year. Consider that 1 earth year has 365 of its days. On planet Z, how many of your days would your year be? A 2.5 BC 10.0 730.0 D 13 322.5 E 53 290.0 /",10
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 166 - Mathematics and its Technologies,"In a speed competition, it is said that there is an overtaking when a vehicle that is behind another passes in front of it, with both moving in the same direction. Consider an automobile competition between five cars on a track 100 m long, where all start at the same time and from the same line. The graph shows the variation in the distance traveled by each vehicle, as a function of time, throughout the competition. Time (s) 15 What is the number of overtakes, after the start of the competition, made by the vehicle that finished last? 100 ) mi ( acnâ ts D i 0 0 ABCDE 0 1 2 3 4 /",20
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 167 - Mathematics and its Technologies,"In a store, the promotional price of a refrigerator is R$1,000.00 for cash payment only. Its regular price, outside of the promotion, is 10% higher. For payment made with the store's credit card, a 2% discount is given on the regular price. A customer decided to buy this refrigerator, choosing to pay with the store's credit card. She calculated that the amount to be paid would be the promotional price plus 8%. Upon being informed by the store of the amount to be paid, according to her option, she noticed a difference between her calculation and the amount presented to her. The value presented by the store, compared to the value calculated by the customer, was AR$ 2.00 less. BR$ 100.00 less. CR$ 200.00 less. DR$ 42.00 higher. ER$80.00 higher. /",4
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 168 - Mathematics and its Technologies,"person needs to travel by car from point P to point Q, indicated in the figure, in which the vertical and horizontal lines symbolize streets. QP Because of the traffic direction on these streets, the highlighted polygonal path is the shortest possibility to make this trip. To describe it, one must specify which direction to take at each street intersection, in relation to the direction of travel of the car, which will move continuously. For this, the letters E, F and D are used to indicate “turn left”, “go straight ahead” and “turn right”, respectively. The sequence of letters describing the highlighted polygon path is A DDEFDDEEFFD. B DFEFDDDEFFD. C DFEFDDEEFFD. D EFDFEEDDFFE. AND EFDFEEEDFFE. /",6
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 169 - Mathematics and its Technologies,"store sells five models of water tanks (I, II, III, IV and V), all in the shape of a straight cylinder with a circular base. Models II, III, IV and V have their dimension specifications given in relation to the dimensions of model I, whose depth is P and base area is , as follows: • model II: twice the depth and half the area from the base of model I; • model III: twice the depth and half the radius of the base of model I; • model IV: half the depth and twice the base area of model I; • model V: half the depth and twice the radius of the base of model I. A person intends to buy in that store the model of water tank that offers the greatest volumetric capacity. The chosen model must be the A I. BC II. III. D IV. And V. /",9
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 170 - Mathematics and its Technologies,"In the period from 2005 to 2013, the sale value of real estate in a city increased, which resulted in an increase in rents. The graphs show the evolution of these values, for the same property, in the real estate market of that city. 3 240 ) $ R ( leuguaodllasnemroa V llev ó miododacremedroa V l ) $ R edrahlim ( 1 800 1 350 960 630 2005 2007 2011 2013 2009 Year 540 450 120 90 270 2009 Year 2005 20 07 2011 2013 The profitability of renting a property is calculated by the ratio between the monthly rent value and the market value of that property. Based on the data provided, in which year was the rent profitability higher? A 2005 BC 2007 2009 D 2011 E 2013 /",26
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 171 - Mathematics and its Technologies,"In the final five games of last season, with an average of 18 points per game, a player was named the best player in the basketball league. In the current season, five players have a chance to match or better that average. On the board are recorded the scores of these five players in the first four games of this year's finals. Players Game 1 Game 2 Game 3 Game 4 I II III IV V 12 12 14 15 22 25 12 14 18 15 20 27 17 21 23 20 20 26 21 15 The fifth and last game will be held to decide the winning team and which is the best player of the season. The player who needs to score the fewest points in the fifth game to match last season's best player points average is A I. BC II. III. D IV. And V. /",29
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 172 - Mathematics and its Technologies,"couple plans to build a swimming pool in the shape of a rectangular parallelepiped with a capacity of 90,000 L of water on their farm. The couple hired a construction company that presented five projects with different combinations of the internal dimensions of depth, width and length. The pool to be built will have the same ceramic coating on its walls and bottom, and the couple will choose the project that requires the smallest coating area. The internal dimensions of depth, width and length, respectively, for each of the projects, are: • project I: 1.8 m, 2.0 m and 25.0 m; • project II: 2.0 m, 5.0 m and 9.0 m; • project III: 1.0 m, 6.0 m and 15.0 m; • project IV: 1.5 m, 15.0 m and 4.0 m; • project V: 2.5 m, 3.0 m and 12.0 m. The project that the couple should choose will be the A I. BC II. III. D IV. And V. /",13
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 173 - Mathematics and its Technologies,"higher education institution offered vacancies in a selection process for access to its courses. After registration was completed, the list of the number of candidates per vacancy in each of the courses offered was released. These data are presented in the table. Number of vacancies offered Number of candidates per vacancy Course Administration Accounting Sciences Electrical Engineering History Letters Pedagogy 30 40 50 30 25 25 6 6 7 8 4 5 What was the total number of candidates enrolled in this selection process? A 200 BC 400 1 200 D 1 235 E 7 200 /",25
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 174 - Mathematics and its Technologies,"Metal parts from abandoned aircraft at airports will be recycled. One of these pieces is solid and has a cylindrical shape, with a base radius of 4 cm and a height of 50 cm. It will be melted, and the resulting volume of metal will be used to manufacture solid spheres with a diameter of 1 cm, to be used to manufacture bearings. To estimate the amount of spheres that can be produced from each of the cylindrical pieces, it is assumed that there is no loss of material during the melting process. How many of these spheres can be obtained from each cylindrical piece? A 800 BC 1 200 2 400 D 4 800 E 6 400 /",8
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 175 - Mathematics and its Technologies,"Upon hearing the news that a newly released film grossed BRL 1.35 billion at the box office in its first month of release, a student correctly wrote the number that represents that amount, with all its digits. The number written by the student was A 135 000.00. BC 1 350 000.00. 13 500 000.00. D 135 000 000.00. And 1 350 000 000.00. /",1
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 176 - Mathematics and its Technologies,"The government of one state intends to carry out an infrastructure project to help integrate and process agricultural production in two cities. The project consists of the direct interconnection of cities A and B with Highway 003, through the construction of Highways 001 and 002. The two highways will be built in a straight line and must connect to Highway 003 at the same point, as shown in the sketch in the figure, in which the positions of cities A and B are also indicated, considering the x axis positioned on Highway 003, and five suggested locations for the connection point between the three highways. y (km) 40 City A Highway 001 Highway 002 City B Highway 003 I II III IV V 0 5 10 15 20 25 30 35 40 45 50 55 x (km) It is intended that the distance traveled between the two cities by the Highways 001 and 002, passing through the connection point, be as small as possible. Given the design requirements, which of the suggested locations should be chosen for the connection point? 30 20 10 AIBC II III D IV EV /",9
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 177 - Mathematics and its Technologies,"A person needs to hire a worker to do a job in his house. For this, she posted an ad on a social network. Five people responded by informing prices per hour worked, daily expenses with transportation and time required to complete the service, according to values presented in the table. Worker Price per hour (real) Transport price (real) Time to completion (hour) I II III IV V 120 180 170 110 110 0.00 0.00 20.00 10.00 0.00 8 6 6 9 10 If the person intends to spend as little as possible on this contract, he will hire worker A I. BC II. III. D IV. And V. /",26
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 178 - Mathematics and its Technologies,"cook makes special sweets to order. Using a base dough recipe, she prepares a portion, with which she produces 50 solid spherical sweets, 2 cm in diameter. A customer orders 150 of these sweets, but asks that each one be spherical in shape, 4 cm in diameter. The cook intends to prepare the exact number of servings of the dough base recipe needed to produce the sweets for that order. How many servings of the base pasta recipe should she prepare to serve this customer? ABC 2 3 6 D 12 E 24 /",12
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 179 - Mathematics and its Technologies,"Life expectancy at birth is the average number of years an individual is likely to live from birth, considering population data. In Brazil, this number has been increasing considerably, as shown in the graph. Life expectancy at birth 74.23 73.95 73.67 73.4 73.09 72.78 2008 2009 2010 2011 2012 2013 Available at: http://cod.ibge.gov.br. Accessed on: 6 Mar. 2014 (adapted). It can be observed that the life expectancy at birth in 2012 was exactly the average of those recorded in the years 2011 and 2013. Suppose that this fact also occurred with the life expectancy at birth in 2013, in relation to the life expectancies of 2012 and 2014. If the assumption made has been confirmed, life expectancy at birth in Brazil in the year 2014 will have been, in years, equal to 75 74 73 72 A 74.23. BC 74.51. 75.07. D75.23. And 78.49. /",24
2022,Mathematics and its Technologies,MT,BLUE,1075,Question 180 - Mathematics and its Technologies,"In the figure, two trajectories are highlighted on the surface of the terrestrial globe, described when traversing part of the meridians 1, 2 and the Equator Line, and the parallel meridians 1 and 2 are contained in planes perpendicular to each other. The plane containing the Equator Line. Meridian 2 N Meridian 1 Equator S α The top view of the orthogonal projection on the plane of these two paths is ABCDE /",6
2021,Mathematics and its Technologies,MT,BLUE,899,136,"line segment is divided into two parts in the golden ratio when the whole is to one of the parts in the same ratio as that part is to the other. This proportionality constant is commonly represented by the Greek letter φ, and its value is given by the positive solution of the equation φ = φ + 1. 2 Like the power φ , the higher powers of φ can be expressed in the 2 form aφ + b, where a and b are positive integers, as shown in the table. The power φ , written in the form aφ + b (a and b are positive integers), is 7 ## A 5φ + 3 ## B ## C 7φ + 2 9φ + 6 ## D 11φ + 7 ## E 13φ + 8",2
